-START-OF-DATA-	
2207.5	3.408544400E-07
2208.5	3.408370900E-07
2209.5	3.408199000E-07
2210.5	3.408028700E-07
2211.5	3.407859900E-07
2212.5	3.407692600E-07
2213.5	3.407526800E-07
2214.5	3.407362600E-07
2215.5	3.407199800E-07
2216.5	3.407038600E-07
2217.5	3.406878800E-07
2218.5	3.406720400E-07
2219.5	3.406563500E-07
2220.5	3.406408100E-07
2221.5	3.406254000E-07
2222.5	3.406101300E-07
2223.5	3.405950100E-07
2224.5	3.405800200E-07
2225.5	3.405651700E-07
2226.5	3.405504500E-07
2227.5	3.405358600E-07
2228.5	3.405214100E-07
2229.5	3.405070900E-07
2230.5	3.404929000E-07
2231.5	3.404788400E-07
2232.5	3.404649100E-07
2233.5	3.404511100E-07
2234.5	3.404374300E-07
2235.5	3.404238700E-07
2236.5	3.404104400E-07
2237.5	3.403971300E-07
2238.5	3.403839400E-07
2239.5	3.403708700E-07
2240.5	3.403579200E-07
2241.5	3.403450900E-07
2242.5	3.403323800E-07
2243.5	3.403197800E-07
2244.5	3.403072900E-07
2245.5	3.402949200E-07
2246.5	3.402826600E-07
2247.5	3.402705200E-07
2248.5	3.402584800E-07
2249.5	3.402465500E-07
2250.5	3.402347400E-07
2251.5	3.402230200E-07
2252.5	3.402114200E-07
2253.5	3.401999200E-07
2254.5	3.401885300E-07
2255.5	3.401772400E-07
2256.5	3.401660500E-07
2257.5	3.401549600E-07
2258.5	3.401439800E-07
2259.5	3.401330900E-07
2260.5	3.401223100E-07
2261.5	3.401116200E-07
2262.5	3.401010300E-07
2263.5	3.400905400E-07
2264.5	3.400801400E-07
2265.5	3.400698300E-07
2266.5	3.400596200E-07
2267.5	3.400495100E-07
2268.5	3.400394800E-07
2269.5	3.400295500E-07
2270.5	3.400197000E-07
2271.5	3.400099500E-07
2272.5	3.400002800E-07
2273.5	3.399907100E-07
2274.5	3.399812200E-07
2275.5	3.399718100E-07
2276.5	3.399624900E-07
2277.5	3.399532600E-07
2278.5	3.399441100E-07
2279.5	3.399350400E-07
2280.5	3.399260600E-07
2281.5	3.399171600E-07
2282.5	3.399083400E-07
2283.5	3.398996000E-07
2284.5	3.398909400E-07
2285.5	3.398823500E-07
2286.5	3.398738500E-07
2287.5	3.398654200E-07
2288.5	3.398570700E-07
2289.5	3.398488000E-07
2290.5	3.398406000E-07
2291.5	3.398324700E-07
2292.5	3.398244200E-07
2293.5	3.398164500E-07
2294.5	3.398085400E-07
2295.5	3.398007100E-07
2296.5	3.397929500E-07
2297.5	3.397852600E-07
2298.5	3.397776400E-07
2299.5	3.397700800E-07
2300.5	3.397626000E-07
2301.5	3.397551900E-07
2302.5	3.397478400E-07
2303.5	3.397405600E-07
2304.5	3.397333400E-07
2305.5	3.397262000E-07
2306.5	3.397191100E-07
2307.5	3.397120900E-07
2308.5	3.397051400E-07
2309.5	3.396982500E-07
2310.5	3.396914200E-07
2311.5	3.396846500E-07
2312.5	3.396779400E-07
2313.5	3.396713000E-07
2314.5	3.396647200E-07
2315.5	3.396581900E-07
2316.5	3.396517300E-07
2317.5	3.396453200E-07
2318.5	3.396389700E-07
2319.5	3.396326800E-07
2320.5	3.396264500E-07
2321.5	3.396202800E-07
2322.5	3.396141600E-07
2323.5	3.396080900E-07
2324.5	3.396020800E-07
2325.5	3.395961300E-07
2326.5	3.395902300E-07
2327.5	3.395843800E-07
2328.5	3.395785900E-07
2329.5	3.395728500E-07
2330.5	3.395671600E-07
2331.5	3.395615200E-07
2332.5	3.395559400E-07
2333.5	3.395504000E-07
2334.5	3.395449200E-07
2335.5	3.395394900E-07
2336.5	3.395341000E-07
2337.5	3.395287700E-07
2338.5	3.395234800E-07
2339.5	3.395182400E-07
2340.5	3.395130500E-07
2341.5	3.395079000E-07
2342.5	3.395028100E-07
2343.5	3.394977600E-07
2344.5	3.394927500E-07
2345.5	3.394877900E-07
2346.5	3.394828800E-07
2347.5	3.394780100E-07
2348.5	3.394731800E-07
2349.5	3.394684000E-07
2350.5	3.394636600E-07
2351.5	3.394589700E-07
2352.5	3.394543200E-07
2353.5	3.394497100E-07
2354.5	3.394451400E-07
2355.5	3.394406100E-07
2356.5	3.394361300E-07
2357.5	3.394316800E-07
2358.5	3.394272800E-07
2359.5	3.394229200E-07
2360.5	3.394185900E-07
2361.5	3.394143100E-07
2362.5	3.394100600E-07
2363.5	3.394058500E-07
2364.5	3.394016900E-07
2365.5	3.393975500E-07
2366.5	3.393934600E-07
2367.5	3.393894100E-07
2368.5	3.393853900E-07
2369.5	3.393814000E-07
2370.5	3.393774600E-07
2371.5	3.393735500E-07
2372.5	3.393696700E-07
2373.5	3.393658300E-07
2374.5	3.393620300E-07
2375.5	3.393582600E-07
2376.5	3.393545200E-07
2377.5	3.393508200E-07
2378.5	3.393471500E-07
2379.5	3.393435200E-07
2380.5	3.393399200E-07
2381.5	3.393363500E-07
2382.5	3.393328100E-07
2383.5	3.393293100E-07
2384.5	3.393258300E-07
2385.5	3.393223900E-07
2386.5	3.393189800E-07
2387.5	3.393156100E-07
2388.5	3.393122600E-07
2389.5	3.393089400E-07
2390.5	3.393056500E-07
2391.5	3.393024000E-07
2392.5	3.392991700E-07
2393.5	3.392959700E-07
2394.5	3.392928000E-07
2395.5	3.392896600E-07
2396.5	3.392865500E-07
2397.5	3.392834700E-07
2398.5	3.392804100E-07
2399.5	3.392773800E-07
2400.5	3.392743800E-07
2401.5	3.392714100E-07
2402.5	3.392684700E-07
2403.5	3.392655500E-07
2404.5	3.392626500E-07
2405.5	3.392597900E-07
2406.5	3.392569500E-07
2407.5	3.392541300E-07
2408.5	3.392513500E-07
2409.5	3.392485800E-07
2410.5	3.392458400E-07
2411.5	3.392431300E-07
2412.5	3.392404400E-07
2413.5	3.392377800E-07
2414.5	3.392351400E-07
2415.5	3.392325200E-07
2416.5	3.392299300E-07
2417.5	3.392273600E-07
2418.5	3.392248200E-07
2419.5	3.392223000E-07
2420.5	3.392198000E-07
2421.5	3.392173200E-07
2422.5	3.392148700E-07
2423.5	3.392124400E-07
2424.5	3.392100300E-07
2425.5	3.392076400E-07
2426.5	3.392052800E-07
2427.5	3.392029300E-07
2428.5	3.392006100E-07
2429.5	3.391983100E-07
2430.5	3.391960300E-07
2431.5	3.391937700E-07
2432.5	3.391915300E-07
2433.5	3.391893100E-07
2434.5	3.391871100E-07
2435.5	3.391849300E-07
2436.5	3.391827700E-07
2437.5	3.391806400E-07
2438.5	3.391785200E-07
2439.5	3.391764200E-07
2440.5	3.391743300E-07
2441.5	3.391722700E-07
2442.5	3.391702300E-07
2443.5	3.391682000E-07
2444.5	3.391662000E-07
2445.5	3.391642100E-07
2446.5	3.391622400E-07
2447.5	3.391602900E-07
2448.5	3.391583500E-07
2449.5	3.391564300E-07
2450.5	3.391545300E-07
2451.5	3.391526500E-07
2452.5	3.391507900E-07
2453.5	3.391489400E-07
2454.5	3.391471100E-07
2455.5	3.391452900E-07
2456.5	3.391434900E-07
2457.5	3.391417100E-07
2458.5	3.391399500E-07
2459.5	3.391382000E-07
2460.5	3.391364600E-07
2461.5	3.391347500E-07
2462.5	3.391330400E-07
2463.5	3.391313600E-07
2464.5	3.391296900E-07
2465.5	3.391280300E-07
2466.5	3.391263900E-07
2467.5	3.391247600E-07
2468.5	3.391231500E-07
2469.5	3.391215500E-07
2470.5	3.391199700E-07
2471.5	3.391184000E-07
2472.5	3.391168500E-07
2473.5	3.391153100E-07
2474.5	3.391137900E-07
2475.5	3.391122700E-07
2476.5	3.391107800E-07
2477.5	3.391092900E-07
2478.5	3.391078200E-07
2479.5	3.391063600E-07
2480.5	3.391049200E-07
2481.5	3.391034900E-07
2482.5	3.391020700E-07
2483.5	3.391006700E-07
2484.5	3.390992700E-07
2485.5	3.390979000E-07
2486.5	3.390965300E-07
2487.5	3.390951700E-07
2488.5	3.390938300E-07
2489.5	3.390925000E-07
2490.5	3.390911800E-07
2491.5	3.390898800E-07
2492.5	3.390885800E-07
2493.5	3.390873000E-07
2494.5	3.390860300E-07
2495.5	3.390847700E-07
2496.5	3.390835200E-07
2497.5	3.390822900E-07
2498.5	3.390810600E-07
2499.5	3.390798500E-07
2500.5	3.390792500E-07
999999999	2.729596000E-07
-END-OF-DATA-	
