-START-OF-DATA-	
2441.5	3.358718200E-04
2442.5	3.357109400E-04
2443.5	3.355633800E-04
2444.5	3.354267200E-04
2445.5	3.352936400E-04
2446.5	3.351560400E-04
2447.5	3.350106500E-04
2448.5	3.348577300E-04
2449.5	3.346983300E-04
2450.5	3.345281100E-04
2451.5	3.343503500E-04
2452.5	3.341790800E-04
2453.5	3.340209200E-04
2454.5	3.338760000E-04
2455.5	3.337418900E-04
2456.5	3.336112700E-04
2457.5	3.334761000E-04
2458.5	3.333331500E-04
2459.5	3.331826900E-04
2460.5	3.330257600E-04
2461.5	3.328580800E-04
2462.5	3.326829600E-04
2463.5	3.325143600E-04
2464.5	3.323588300E-04
2465.5	3.322164500E-04
2466.5	3.320847900E-04
2467.5	3.319565400E-04
2468.5	3.318237100E-04
2469.5	3.316831100E-04
2470.5	3.315350000E-04
2471.5	3.313804500E-04
2472.5	3.312152300E-04
2473.5	3.310426700E-04
2474.5	3.308766400E-04
2475.5	3.307236400E-04
2476.5	3.305837200E-04
2477.5	3.304544100E-04
2478.5	3.303284500E-04
2479.5	3.301978800E-04
2480.5	3.300595300E-04
2481.5	3.299137000E-04
2482.5	3.297614400E-04
2483.5	3.295986000E-04
2484.5	3.294285000E-04
2485.5	3.292649500E-04
2486.5	3.291143900E-04
2487.5	3.289768400E-04
2488.5	3.288498100E-04
2489.5	3.287260600E-04
2490.5	3.285976600E-04
2491.5	3.284614900E-04
2492.5	3.283178500E-04
2493.5	3.281678100E-04
2494.5	3.280072600E-04
2495.5	3.278395400E-04
2496.5	3.276784000E-04
2497.5	3.275302100E-04
2498.5	3.273949500E-04
2499.5	3.272701200E-04
2500.5	3.272098000E-04
999999999	2.780000000E-04
-END-OF-DATA-	
